Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 -0.745371	 -0.000544385	 -0.907771	 -0.713545	 -0.00115941	 -0.834355	 -0.681746	 -0.00168878	 -0.760927	 -0.649978	 -0.00223096	 -0.687485	 -0.618237	 -0.00277066	 -0.614031	 -0.586497	 -0.0033098	 -0.540577	 -0.554794	 -0.00384683	 -0.467107	 -0.523121	 -0.00438052	 -0.393624	 -0.491445	 -0.00491648	 -0.320142	 -0.459814	 -0.00545719	 -0.246641	 -0.428193	 -0.00599428	 -0.173135	 1.7587	 1.75992	 1.76113	 1.76235	 1.76356	 1.76478	 1.76599	 1.76721	 1.76842	 1.76964	 
0.01	 -0.745326	 -0.000584387	 -0.907758	 -0.713535	 -0.00115334	 -0.834326	 -0.681734	 -0.00169018	 -0.760899	 -0.64997	 -0.00223022	 -0.687455	 -0.618218	 -0.00276804	 -0.614006	 -0.586489	 -0.00331029	 -0.540547	 -0.55478	 -0.00385217	 -0.46708	 -0.523093	 -0.0043918	 -0.393603	 -0.49141	 -0.00493133	 -0.320124	 -0.459751	 -0.00546944	 -0.246635	 -0.428122	 -0.00600395	 -0.173133	 1.75975	 1.76104	 1.76232	 1.7636	 1.76487	 1.76614	 1.7674	 1.76865	 1.76988	 1.77111	 
0.02	 -0.745314	 -0.000635558	 -0.907762	 -0.713535	 -0.00114196	 -0.834324	 -0.68173	 -0.00168909	 -0.760898	 -0.649958	 -0.00223078	 -0.687458	 -0.618188	 -0.00277204	 -0.614017	 -0.58645	 -0.00331411	 -0.540563	 -0.554747	 -0.0038512	 -0.467093	 -0.523081	 -0.00438343	 -0.393607	 -0.491427	 -0.00492134	 -0.320116	 -0.459741	 -0.00546332	 -0.246639	 -0.428122	 -0.00600395	 -0.173133	 1.75634	 1.75376	 1.75135	 1.74919	 1.74735	 1.74591	 1.74492	 1.74444	 1.7445	 1.74513	 
0.03	 -0.745277	 -0.000644623	 -0.907759	 -0.713497	 -0.00114236	 -0.834321	 -0.68169	 -0.00169166	 -0.760897	 -0.649936	 -0.00222761	 -0.687448	 -0.618194	 -0.00276378	 -0.613995	 -0.586444	 -0.0033047	 -0.540545	 -0.554708	 -0.00384711	 -0.46709	 -0.52302	 -0.00438635	 -0.393613	 -0.491347	 -0.00492747	 -0.32013	 -0.459674	 -0.00546625	 -0.246647	 -0.428047	 -0.00600472	 -0.173144	 1.76027	 1.76139	 1.76252	 1.76366	 1.7648	 1.76595	 1.76712	 1.76829	 1.76948	 1.77068	 
0.04	 -0.745347	 -0.000638714	 -0.90772	 -0.713505	 -0.00113618	 -0.83431	 -0.681681	 -0.00168936	 -0.760892	 -0.649883	 -0.00222955	 -0.687463	 -0.618134	 -0.00276815	 -0.614013	 -0.586375	 -0.0033087	 -0.540567	 -0.554641	 -0.00384969	 -0.46711	 -0.522955	 -0.00438915	 -0.393633	 -0.491265	 -0.00492528	 -0.320157	 -0.459607	 -0.00546046	 -0.246668	 -0.427971	 -0.00599646	 -0.173168	 1.76047	 1.76166	 1.76285	 1.76405	 1.76525	 1.76645	 1.76765	 1.76885	 1.77006	 1.77127	 
0.05	 -0.745362	 -0.00060032	 -0.907717	 -0.713471	 -0.0011481	 -0.834328	 -0.681659	 -0.00168886	 -0.760905	 -0.649838	 -0.00222897	 -0.687486	 -0.618078	 -0.00276734	 -0.61404	 -0.586316	 -0.00330583	 -0.540596	 -0.554588	 -0.00384284	 -0.467136	 -0.522892	 -0.00437876	 -0.393663	 -0.491197	 -0.0049099	 -0.32019	 -0.459537	 -0.00544438	 -0.246701	 -0.427896	 -0.00598166	 -0.173204	 1.76029	 1.76148	 1.76266	 1.76385	 1.76504	 1.76623	 1.76743	 1.76863	 1.76984	 1.77105	 
0.06	 -0.745334	 -0.000538214	 -0.90774	 -0.713446	 -0.00115404	 -0.83435	 -0.681597	 -0.00168695	 -0.760943	 -0.649793	 -0.0022268	 -0.687517	 -0.618033	 -0.00275716	 -0.614071	 -0.586291	 -0.00328912	 -0.540618	 -0.554553	 -0.00382572	 -0.467163	 -0.52283	 -0.00436343	 -0.393702	 -0.491139	 -0.00489872	 -0.320226	 -0.459467	 -0.00543199	 -0.246743	 -0.427826	 -0.00596441	 -0.173246	 1.75999	 1.76118	 1.76238	 1.76358	 1.76477	 1.76597	 1.76718	 1.76838	 1.76959	 1.7708	 
0.07	 -0.745293	 -0.00056891	 -0.907775	 -0.713469	 -0.00113593	 -0.834357	 -0.681611	 -0.00166427	 -0.760954	 -0.64982	 -0.00220504	 -0.687522	 -0.618021	 -0.00274051	 -0.614094	 -0.586248	 -0.00327832	 -0.540654	 -0.554484	 -0.00381705	 -0.46721	 -0.522763	 -0.00434927	 -0.393748	 -0.491099	 -0.00488188	 -0.320261	 -0.459424	 -0.00541446	 -0.246778	 -0.427762	 -0.00594909	 -0.17329	 1.75951	 1.7607	 1.7619	 1.7631	 1.7643	 1.7655	 1.76671	 1.76792	 1.76913	 1.77034	 
0.08	 -0.745263	 -0.000621597	 -0.907808	 -0.713462	 -0.00112915	 -0.83438	 -0.681603	 -0.00166321	 -0.760978	 -0.6498	 -0.00219569	 -0.687551	 -0.618018	 -0.00272741	 -0.614115	 -0.586245	 -0.0032608	 -0.540675	 -0.554487	 -0.00379676	 -0.467228	 -0.522759	 -0.00432997	 -0.393769	 -0.491063	 -0.00486576	 -0.320296	 -0.459376	 -0.00540345	 -0.246819	 -0.427708	 -0.00593919	 -0.173333	 1.75895	 1.76015	 1.76136	 1.76257	 1.76378	 1.76498	 1.7662	 1.76741	 1.76862	 1.76984	 
