Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 0.381	 0.678	 -0.99	 0.377426	 0.671816	 -0.973567	 0.373887	 0.66567	 -0.957112	 0.370351	 0.659517	 -0.940659	 0.366788	 0.653342	 -0.924221	 0.363218	 0.647176	 -0.907781	 1.75737	 1.75734	 1.75732	 1.75729	 1.75727	 
0.01	 0.381	 0.678	 -0.99	 0.377495	 0.67182	 -0.973553	 0.37392	 0.665666	 -0.957111	 0.370288	 0.659536	 -0.940673	 0.366744	 0.653361	 -0.924233	 0.363287	 0.647141	 -0.907791	 1.75706	 1.75703	 1.757	 1.75696	 1.75694	 
0.02	 0.381	 0.678	 -0.99	 0.377541	 0.671818	 -0.973544	 0.373898	 0.665674	 -0.957113	 0.370259	 0.659531	 -0.940681	 0.366762	 0.653351	 -0.924233	 0.363281	 0.64716	 -0.907786	 1.75705	 1.75703	 1.75701	 1.75696	 1.75688	 
0.03	 0.381	 0.678	 -0.99	 0.377466	 0.671832	 -0.973557	 0.373906	 0.665672	 -0.957117	 0.370332	 0.659499	 -0.940685	 0.36679	 0.653339	 -0.924241	 0.363274	 0.647203	 -0.907784	 1.75671	 1.75666	 1.75663	 1.75656	 1.75654	 
0.04	 0.381	 0.678	 -0.99	 0.377374	 0.671869	 -0.973566	 0.37389	 0.665667	 -0.957128	 0.3704	 0.659476	 -0.940686	 0.366805	 0.653346	 -0.924245	 0.363203	 0.647214	 -0.907807	 1.75636	 1.75633	 1.7563	 1.75627	 1.75625	 
0.05	 0.381	 0.678	 -0.99	 0.3774	 0.671864	 -0.973564	 0.373894	 0.665687	 -0.957123	 0.370457	 0.659493	 -0.940675	 0.366891	 0.653334	 -0.92424	 0.363206	 0.647202	 -0.907822	 1.75603	 1.75601	 1.756	 1.75596	 1.75598	 
0.06	 0.381	 0.678	 -0.99	 0.37743	 0.671834	 -0.973571	 0.373911	 0.665694	 -0.957122	 0.370392	 0.659534	 -0.940681	 0.366825	 0.653352	 -0.924258	 0.36325	 0.647188	 -0.90783	 1.75568	 1.75566	 1.75564	 1.75561	 1.75559	 
0.07	 0.381	 0.678	 -0.99	 0.377503	 0.671815	 -0.973566	 0.373941	 0.665664	 -0.957132	 0.370322	 0.659547	 -0.940699	 0.366789	 0.653385	 -0.924264	 0.363341	 0.647171	 -0.907831	 1.75529	 1.75526	 1.75525	 1.75522	 1.75519	 
0.08	 0.381	 0.678	 -0.99	 0.377558	 0.671808	 -0.97356	 0.373919	 0.66567	 -0.957143	 0.370289	 0.659545	 -0.940719	 0.366816	 0.653381	 -0.924276	 0.36336	 0.647197	 -0.907837	 1.75478	 1.75475	 1.75471	 1.75468	 1.75466	 
